[INFO ] 2015-12-03 14:49:21,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175761031 || heartbeat: 7 || status: true
[INFO ] 2015-12-03 14:49:21,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175761531 || heartbeat: 8 || status: true
[INFO ] 2015-12-03 14:49:22,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175762031 || heartbeat: 9 || status: true
[INFO ] 2015-12-03 14:49:22,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175762531 || heartbeat: 10 || status: true
[INFO ] 2015-12-03 14:49:23,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175763031 || heartbeat: 11 || status: true
[INFO ] 2015-12-03 14:49:23,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175763531 || heartbeat: 12 || status: true
[INFO ] 2015-12-03 14:49:23,534 IntroducerRejoinThread.class pool-1-thread-2 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:23,534 IntroducerRejoinThread.class pool-1-thread-2 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:24,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175764031 || heartbeat: 13 || status: true
[INFO ] 2015-12-03 14:49:24,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175764531 || heartbeat: 14 || status: true
[INFO ] 2015-12-03 14:49:25,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175765031 || heartbeat: 15 || status: true
[INFO ] 2015-12-03 14:49:25,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175765531 || heartbeat: 16 || status: true
[INFO ] 2015-12-03 14:49:26,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175766031 || heartbeat: 17 || status: true
[INFO ] 2015-12-03 14:49:26,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175766531 || heartbeat: 18 || status: true
[INFO ] 2015-12-03 14:49:27,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175767031 || heartbeat: 19 || status: true
[INFO ] 2015-12-03 14:49:27,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175767531 || heartbeat: 20 || status: true
[INFO ] 2015-12-03 14:49:28,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175768031 || heartbeat: 21 || status: true
[INFO ] 2015-12-03 14:49:28,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175768531 || heartbeat: 22 || status: true
[INFO ] 2015-12-03 14:49:28,534 IntroducerRejoinThread.class pool-1-thread-3 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:28,534 IntroducerRejoinThread.class pool-1-thread-3 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:29,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175769031 || heartbeat: 23 || status: true
